,Unnamed: 0,FinalWorth,Person Name,Age,country,City,source,Industries,Country_Of_Citizenship,Self_Made,Status,Gender,State,Residence_State_Region,Birth Year,Birth Month,Birthday,CPI Country,CPI ChangeCountry,GDP_Country,Gross_Tertiarye_Education_Enrollment,Gross_Primary_Education_Enrollment_Country,Life_Expectancy_Country,Tax_Revenue_Country,Total_TaxRate_Country,Population_Country,Latitude Country,Longitude Country,Population_Category
28,28,39100,Klaus-Michael Kuehne,85.0,Switzerland,Schindellegi,Shipping,Logistics,Germany,False,U,M,,,1937.0,6.0,2.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,5M-10M
29,29,38900,Giovanni Ferrero,58.0,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,Italy,False,U,M,,,1964.0,9.0,21.0,117.11,1.4,529606710418.0,79.7,103.9,81.6,24.0,55.4,11484055.0,50.503887,4.469936,10M-50M
30,30,38300,Jacqueline Mars,83.0,United States,The Plains,"Candy, pet food",Food & Beverage,United States,False,U,F,Virginia,South,1939.0,10.0,10.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
31,31,38300,John Mars,87.0,United States,Jackson,"Candy, pet food",Food & Beverage,United States,False,U,M,Wyoming,South,1935.0,10.0,15.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
32,32,38000,Li Ka-shing,94.0,Hong Kong,,Diversified,Diversified,Hong Kong,True,U,M,,,1928.0,6.0,13.0,,,,,,,,,,,,
33,33,35300,Ma Huateng,51.0,China,Shenzhen,Internet media,Technology,China,True,D,M,,,1971.0,10.0,29.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,>500M
34,34,35000,Miriam Adelson & family,77.0,United States,Las Vegas,Casinos,Gambling & Casinos,United States,False,U,F,Nevada,West,1945.0,10.0,10.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
35,35,35000,Ken Griffin,54.0,United States,Miami,Hedge funds,Finance & Investments,United States,True,U,M,Florida,South,1968.0,10.0,15.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
36,36,34700,Mark Mateschitz,30.0,Austria,Salzburg,Red Bull,Food & Beverage,Austria,False,N,M,,,1992.0,5.0,7.0,118.06,1.5,446314739528.0,85.1,103.1,81.6,25.4,51.4,8877067.0,47.516231,14.550072,5M-10M
37,37,33400,Robin Zeng,54.0,China,Ningde,Batteries,Automotive,Hong Kong,True,D,M,,,1969.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,>500M
38,38,32600,Tadashi Yanai & family,74.0,Japan,Tokyo,Fashion retail,Fashion & Retail,Japan,True,U,M,,,1949.0,2.0,7.0,105.48,0.5,5081769542380.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924,100M-500M
39,39,32100,Len Blavatnik,65.0,United Kingdom,London,"Music, chemicals",Diversified,United States,True,D,M,,,1957.0,6.0,1.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,50M-100M
40,40,31600,Alain Wertheimer,74.0,United States,New York,Chanel,Fashion & Retail,France,False,U,M,New York,Northeast,1948.0,8.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
41,41,31600,Gerard Wertheimer,72.0,United States,New York,Chanel,Fashion & Retail,France,False,U,M,New York,Northeast,1951.0,1.0,9.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
42,42,31200,Gianluigi Aponte,82.0,Switzerland,Geneva,Shipping,Logistics,Switzerland,True,Split Family Fortune,M,,,1940.0,6.0,27.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,5M-10M
43,43,31200,Rafaela Aponte-Diamant,78.0,Switzerland,Geneva,Shipping,Logistics,Switzerland,True,Split Family Fortune,F,,,1945.0,3.0,26.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,5M-10M
44,44,30200,Colin Zheng Huang,43.0,China,Shanghai,E-commerce,Technology,China,True,U,M,,,1980.0,2.0,2.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,>500M
45,45,29700,Reinhold Wuerth & family,87.0,Germany,Kuenzelsau,Fasteners,Manufacturing,Germany,True,U,M,,,1935.0,4.0,20.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,50M-100M
46,46,28500,Jeff Yass,64.0,United States,Haverford,"Trading, investments",Finance & Investments,United States,True,U,M,Pennsylvania,Northeast,1958.0,7.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
47,47,28100,Jim Simons,84.0,United States,East Setauket,Hedge funds,Finance & Investments,United States,True,D,M,New York,Northeast,1938.0,4.0,25.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
48,48,27800,Stephen Schwarzman,76.0,United States,New York,Investments,Finance & Investments,United States,True,D,M,New York,Northeast,1947.0,2.0,14.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
49,49,27400,Susanne Klatten,60.0,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,Germany,False,U,F,,,1962.0,4.0,28.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,50M-100M
50,50,27000,Gina Rinehart,69.0,Australia,Perth,Mining,Metals & Mining,Australia,False,D,F,,,1954.0,2.0,9.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136,10M-50M
51,51,26700,William Ding,51.0,China,Hangzhou,Online games,Technology,China,True,U,M,,,1971.0,10.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,>500M
52,52,26600,Germán Larrea Mota Velasco & family,69.0,Mexico,Mexico City,Mining,Metals & Mining,Mexico,False,D,M,,,1953.0,10.0,26.0,141.54,3.6,1258286717125.0,40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784,100M-500M
53,53,25600,Shiv Nadar,77.0,India,Delhi,software services,Technology,India,True,D,M,,,1945.0,7.0,18.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,>500M
54,54,25500,Low Tuck Kwong,74.0,Indonesia,Jakarta,Coal,Energy,Indonesia,True,U,M,,,1948.0,4.0,17.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327,100M-500M
55,55,25300,Thomas Peterffy,78.0,United States,Palm Beach,Discount brokerage,Finance & Investments,United States,True,U,M,Florida,South,1944.0,9.0,30.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
56,56,25200,Andrey Melnichenko & family,51.0,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,Russia,True,U,M,,,1972.0,3.0,8.0,114.52,-1.9,421142267938.0,36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818,5M-10M
57,57,24600,Stefan Quandt,56.0,Germany,Frankfurt,BMW,Automotive,Germany,False,U,M,,,1966.0,5.0,9.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,50M-100M
58,58,24400,MacKenzie Scott,52.0,United States,Seattle,Amazon,Technology,United States,False,D,F,Washington,West,1970.0,4.0,7.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
59,59,24200,R. Budi Hartono,82.0,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,Indonesia,False,U,M,,,1941.0,1.0,1.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327,100M-500M
60,60,23700,Vladimir Potanin,62.0,Russia,Moscow,Metals,Metals & Mining,Russia,True,U,M,,,1961.0,1.0,3.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,100M-500M
61,61,23500,Jack Ma,58.0,China,Hangzhou,E-commerce,Technology,China,True,U,M,,,1964.0,9.0,10.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,>500M
62,62,23400,He Xiangjian & family,80.0,China,Foshan,Home appliances,Manufacturing,China,True,D,M,,,1942.0,8.0,11.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,>500M
63,63,23100,Iris Fontbona & family,80.0,Chile,Santiago,Mining,Metals & Mining,Chile,False,U,F,,,1943.0,1.0,1.0,131.91,2.6,282318159745.0,88.5,101.4,80.0,18.2,34.0,18952038.0,-35.675147,-71.542969,10M-50M
64,64,23100,Michael Hartono,83.0,Indonesia,Kudus,"Banking, tobacco",Manufacturing,Indonesia,False,U,M,,,1939.0,10.0,2.0,151.18,3.0,1119190780753.0,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327,100M-500M
65,65,22900,James Ratcliffe,70.0,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,True,U,M,,,1953.0,1.0,1.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,50M-100M
66,66,22600,Cyrus Poonawalla,81.0,India,Pune,Vaccines,Healthcare,India,False,D,M,,,1941.0,5.0,11.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,>500M
67,67,22400,Masayoshi Son,65.0,Japan,Tokyo,"Internet, telecom",Telecom,Japan,True,U,M,,,1957.0,8.0,11.0,105.48,0.5,5081769542380.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924,100M-500M
68,68,22100,Vladimir Lisin,66.0,Russia,Moscow,"Steel, transport",Metals & Mining,Russia,True,U,M,,,1956.0,5.0,7.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,100M-500M
69,69,22000,Emmanuel Besnier,52.0,France,Laval,Cheese,Food & Beverage,France,False,D,M,,,1970.0,9.0,18.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749,50M-100M
70,70,21600,Abigail Johnson,61.0,United States,Milton,Fidelity,Finance & Investments,United States,False,U,F,Massachusetts,Northeast,1961.0,12.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
71,71,21600,Leonid Mikhelson & family,67.0,Russia,Moscow,"Gas, chemicals",Energy,Russia,True,U,M,,,1955.0,8.0,11.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,100M-500M
72,72,21200,Lukas Walton,36.0,United States,Chicago,Walmart,Fashion & Retail,United States,False,U,M,Illinois,Midwest,1986.0,9.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
73,73,21200,Wang Wei,52.0,China,Shenzhen,Package delivery,Service,China,True,D,M,,,1970.0,10.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,>500M
74,74,21100,Jensen Huang,60.0,United States,Los Altos,Semiconductors,Technology,United States,True,U,M,California,West,1963.0,2.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
75,75,21000,Leonard Lauder,90.0,United States,New York,Estee Lauder,Fashion & Retail,United States,False,D,M,New York,Northeast,1933.0,3.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
76,76,21000,Takemitsu Takizaki,77.0,Japan,Osaka,Sensors,Manufacturing,Japan,True,D,M,,,1945.0,6.0,10.0,105.48,0.5,5081769542380.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924,100M-500M
77,77,20900,Alexey Mordashov & family,57.0,Russia,Moscow,"Steel, investments",Metals & Mining,Russia,True,U,M,,,1965.0,9.0,26.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,100M-500M
78,78,20500,Vagit Alekperov,72.0,Russia,Moscow,Oil,Energy,Russia,True,U,M,,,1950.0,9.0,1.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,100M-500M
79,79,20200,"Thomas Frist, Jr. & family",84.0,United States,Nashville,Hospitals,Healthcare,United States,True,D,M,Tennessee,South,1938.0,8.0,12.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
80,80,19600,Andrew Forrest,61.0,Australia,Perth,Mining,Metals & Mining,Australia,True,U,M,,,1961.0,11.0,18.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136,10M-50M
81,81,19100,Ray Dalio,73.0,United States,Greenwich,Hedge funds,Finance & Investments,United States,True,D,M,Connecticut,Northeast,1949.0,8.0,8.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
82,82,19000,Eric Li,59.0,China,Hangzhou,Automobiles,Automotive,China,True,D,M,,,1963.0,6.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,>500M
83,83,19000,Wang Wenyin,55.0,China,Shenzhen,"Mining, copper products",Metals & Mining,China,True,U,M,,,1968.0,3.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,>500M
84,84,18900,Eyal Ofer,72.0,Monaco,Monte Carlo,"Real estate, shipping",Diversified,Israel,False,U,M,,,1950.0,6.0,2.0,,,7184844193.0,,,,,,38964.0,43.7384176,7.4246158,<1M
85,85,18900,Qin Yinglin,57.0,China,Nanyang,Pig breeding,Food & Beverage,China,True,D,M,,,1965.0,4.0,17.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,>500M
86,86,18700,Wang Chuanfu,57.0,China,Shenzhen,"Batteries, automobiles",Automotive,China,True,D,M,,,1966.0,2.0,15.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,>500M
87,87,18500,Harold Hamm & family,77.0,United States,Oklahoma City,Oil & gas,Energy,United States,True,U,M,Oklahoma,South,1945.0,12.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
88,88,18500,David Tepper,65.0,United States,Palm Beach,Hedge funds,Finance & Investments,United States,True,U,M,Florida,South,1957.0,9.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
89,89,18500,Gennady Timchenko,70.0,Russia,Moscow,"Oil, gas",Energy,Russia,True,U,M,,,1952.0,11.0,9.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,100M-500M
90,90,18000,Daniel Gilbert,61.0,United States,Franklin,Quicken Loans,Finance & Investments,United States,True,D,M,Michigan,Midwest,1962.0,1.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
91,91,17700,Lakshmi Mittal,72.0,United Kingdom,London,Steel,Metals & Mining,India,False,D,M,,,1950.0,6.0,15.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,50M-100M
92,92,17500,Steve Cohen,66.0,United States,Greenwich,Hedge funds,Finance & Investments,United States,True,U,M,Connecticut,Northeast,1956.0,6.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
93,93,17500,Carl Icahn,87.0,United States,Indian Creek,Investments,Finance & Investments,United States,True,U,M,Florida,South,1936.0,2.0,16.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
94,94,17500,Savitri Jindal & family,73.0,India,Hisar,Steel,Metals & Mining,India,False,D,F,,,1950.0,3.0,20.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,>500M
95,95,17400,Donald Bren,90.0,United States,Newport Beach,Real estate,Real Estate,United States,True,U,M,California,West,1932.0,5.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
96,96,17400,"John Menard, Jr.",83.0,United States,Eau Claire,Home improvement stores,Fashion & Retail,United States,True,U,M,Wisconsin,Midwest,1940.0,1.0,22.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
97,97,17100,Rupert Murdoch & family,92.0,United States,New York,"Newspapers, TV network",Media & Entertainment,United States,False,D,M,New York,Northeast,1931.0,3.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
98,98,16700,Vicky Safra & family,70.0,Switzerland,Crans-Montana,Banking,Finance & Investments,Brazil,False,U,F,,,1953.0,1.0,1.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,5M-10M
99,99,16500,"Theo Albrecht, Jr. & family",72.0,Germany,Mulheim an der Ruhr,"Aldi, Trader Joe's",Fashion & Retail,Germany,False,D,M,,,1951.0,1.0,1.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,50M-100M
100,100,16500,Renata Kellnerova & family,55.0,Czech Republic,Prague,"Finance, telecommunications",Finance & Investments,Czech Republic,False,D,F,,,1967.0,7.0,4.0,116.48,2.8,246489245495.0,64.1,100.7,79.0,14.9,46.1,10669709.0,49.817492,15.472962,10M-50M
101,101,16300,Li Xiting,72.0,China,Shenzhen,medical devices,Healthcare,Singapore,True,D,M,,,1951.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,>500M
102,102,16200,Stefan Persson,75.0,Sweden,Stockholm,H&M,Fashion & Retail,Sweden,False,D,M,,,1947.0,10.0,4.0,110.51,1.8,530832908738.0,67.0,126.6,82.5,27.9,49.1,10285453.0,60.128161,18.643501,10M-50M
103,103,16200,Eric Schmidt,67.0,United States,Atherton,Google,Technology,United States,True,D,M,California,West,1955.0,4.0,27.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,100M-500M
104,104,16000,Michael Platt,55.0,Switzerland,Geneva,Hedge funds,Finance & Investments,United Kingdom,True,U,M,,,1968.0,3.0,18.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,5M-10M
105,105,15900,Pang Kang,67.0,China,Foshan,Soy sauce,Food & Beverage,China,True,D,M,,,1956.0,1.0,19.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,>500M
